image_sha256,source_file,row_index,categories,annotations_identical,label_conflict
4803770832a4f6236f50b1928e8022a9d557ef73c6c39ed0a6e83d06b59614e9,train-00001-of-00002.parquet,961,[0],True,False
563993cb7847c0730cb8dc69e16b82f361899dd41ebadb703af48a2d0c3848a0,train-00000-of-00002.parquet,56,[0],True,False
563993cb7847c0730cb8dc69e16b82f361899dd41ebadb703af48a2d0c3848a0,train-00000-of-00002.parquet,812,[0],True,False
58554495af779ea45972a02db7f775816bc5d30dda17ec8732234c6bb536dddb,train-00000-of-00002.parquet,281,"[0, 1]",True,False
58554495af779ea45972a02db7f775816bc5d30dda17ec8732234c6bb536dddb,train-00000-of-00002.parquet,1031,"[0, 1]",True,False
62b9a576a4cacb7dbcc15e06ea0724f5282928777108e81d560cbb72e7747d1d,train-00001-of-00002.parquet,106,[0],True,False
62b9a576a4cacb7dbcc15e06ea0724f5282928777108e81d560cbb72e7747d1d,train-00000-of-00002.parquet,676,[0],True,False
72936a563c0f6e45e4d654a21c5a42f71e8a79d3ed8a7004db72881d98034d5c,train-00000-of-00002.parquet,122,"[0, 1, 1, 1, 1]",True,False
72936a563c0f6e45e4d654a21c5a42f71e8a79d3ed8a7004db72881d98034d5c,train-00001-of-00002.parquet,1033,"[0, 1, 1, 1, 1]",True,False
72a7a53ec79b0ea05ba3420c11568a9316a5c26b59715cc7030275c034edc19f,train-00000-of-00002.parquet,198,[0],True,False
72a7a53ec79b0ea05ba3420c11568a9316a5c26b59715cc7030275c034edc19f,train-00001-of-00002.parquet,972,[0],True,False
7dd50a7910a742480eaf451eeb66445613a5701114415b7c477407ce502f3325,train-00001-of-00002.parquet,473,"[0, 1, 1, 1, 1]",True,False
7dd50a7910a742480eaf451eeb66445613a5701114415b7c477407ce502f3325,train-00000-of-00002.parquet,514,"[0, 1, 1, 1, 1]",True,False
96008981288bc5ff47969adb14d23c5f0b41afa2b99a84200dfb636f36baa4c5,train-00001-of-00002.parquet,74,"[0, 1, 1, 1]",True,False
96008981288bc5ff47969adb14d23c5f0b41afa2b99a84200dfb636f36baa4c5,train-00001-of-00002.parquet,606,"[0, 1, 1, 1]",True,False
9d55155f500e83ecb9e6c7c88faa08fa61948a090880c02f099641e72023c7ca,train-00000-of-00002.parquet,190,"[0, 1]",True,False
9d55155f500e83ecb9e6c7c88faa08fa61948a090880c02f099641e72023c7ca,train-00001-of-00002.parquet,608,"[0, 1]",True,False
a8b570c96de7ee53879ff62a64a4c8142e265dde8146cd275b2617df549d71e6,train-00001-of-00002.parquet,595,[0],True,False
a8b570c96de7ee53879ff62a64a4c8142e265dde8146cd275b2617df549d71e6,train-00001-of-00002.parquet,1041,[0],True,False
ae77c5cf0971c69ce178437180b37f6ce3739bf1b8416526cca88d33b058d5b5,train-00001-of-00002.parquet,122,"[0, 0]",True,False
ae77c5cf0971c69ce178437180b37f6ce3739bf1b8416526cca88d33b058d5b5,train-00001-of-00002.parquet,627,"[0, 0]",True,False
b967c09b01ddb0590896945e67e6cf1530430faff1a97b35e7c624cdd6b861af,train-00001-of-00002.parquet,775,"[0, 1]",True,False
b967c09b01ddb0590896945e67e6cf1530430faff1a97b35e7c624cdd6b861af,train-00001-of-00002.parquet,977,"[0, 1]",True,False
c70525ceb7f7ab21c0e4ae785b3272d8f931a85e8b718480a3bec0c93151e936,train-00001-of-00002.parquet,757,[0],True,False
c70525ceb7f7ab21c0e4ae785b3272d8f931a85e8b718480a3bec0c93151e936,train-00000-of-00002.parquet,781,[0],True,False
d2be22db98a655dec347dc13bed41c2f33ccb16152380d57e04657948a419458,train-00000-of-00002.parquet,169,[0],True,False
d2be22db98a655dec347dc13bed41c2f33ccb16152380d57e04657948a419458,train-00001-of-00002.parquet,374,[0],True,False
d4ac9824e7517041c7cc9efe9c88c116254a72ff4e12ed9cf5bfc11dfc1b6af9,train-00001-of-00002.parquet,589,"[0, 1]",True,False
d4ac9824e7517041c7cc9efe9c88c116254a72ff4e12ed9cf5bfc11dfc1b6af9,train-00001-of-00002.parquet,815,"[0, 1]",True,False
ea9e905f839b479c663f89d2372a8d4a4a824039a32c0fd7edf8bd7725dee611,train-00001-of-00002.parquet,70,[0],True,False
ea9e905f839b479c663f89d2372a8d4a4a824039a32c0fd7edf8bd7725dee611,train-00001-of-00002.parquet,400,[0],True,False
ebc944da3a486dc2edba19b314ff98eb1350719e3f72ea18388056bb6638614e,train-00001-of-00002.parquet,575,[0],True,False
ebc944da3a486dc2edba19b314ff98eb1350719e3f72ea18388056bb6638614e,train-00000-of-00002.parquet,1022,[0],True,False
f21440e7cb65f77003cb40fa36b485acdd931d3c95f02dc66318f93ffae47578,train-00000-of-00002.parquet,18,"[0, 1, 1]",True,False
f21440e7cb65f77003cb40fa36b485acdd931d3c95f02dc66318f93ffae47578,train-00001-of-00002.parquet,80,"[0, 1, 1]",True,False
