sample_index,split,event_type
525,train,0
526,train,0
527,train,0
528,train,0
529,train,0
530,train,0
531,test,1
532,train,1
533,train,1
534,train,0
535,train,0
536,train,0
537,validation,0
538,train,1
539,validation,0
540,test,1
541,train,0
542,train,0
543,train,0
544,train,0
545,train,1
546,validation,0
547,test,0
548,train,0
549,train,0
550,train,0
551,train,0
552,validation,0
553,train,0
554,train,1
555,test,0
556,train,0
557,test,0
558,train,1
559,train,0
560,train,0
561,test,0
562,train,0
563,train,0
564,train,0
565,validation,0
566,test,1
567,train,0
568,train,0
569,train,1
570,train,1
571,train,0
572,validation,0
573,validation,0
574,validation,0
575,test,0
576,test,0
577,train,1
578,train,1
579,train,0
580,train,0
581,train,0
582,validation,0
583,train,1
584,train,0
585,train,0
586,train,0
587,train,0
588,validation,0
589,test,1
590,train,1
591,train,0
592,train,0
593,train,0
594,train,0
595,train,0
596,validation,0
597,validation,0
598,train,0
599,train,0
600,train,0
601,train,0
602,train,0
603,train,0
604,train,0
605,train,1
606,train,1
607,train,0
608,train,1
609,train,0
610,train,0
611,train,0
612,train,1
613,train,0
614,train,0
615,train,1
616,train,0
617,train,0
618,train,0
619,validation,0
620,train,0
621,train,0
622,train,0
623,train,0
624,train,1
625,train,0
626,train,0
627,train,0
628,train,0
629,train,1
630,train,1
631,train,1
632,train,1
633,test,0
634,train,1
635,train,1
636,train,1
637,train,0
638,train,0
639,validation,0
640,train,0
641,validation,0
642,test,0
643,train,0
644,train,1
645,train,0
646,train,1
647,train,0
648,validation,1
649,train,1
650,train,0
651,train,0
652,validation,0
653,test,0
654,train,0
655,train,1
656,train,0
657,train,1
658,validation,0
659,train,1
660,test,0
661,train,0
662,train,1
663,train,0
664,validation,0
665,train,0
666,train,0
667,test,1
668,test,0
669,train,0
670,train,0
671,test,0
672,train,1
673,train,1
674,train,1
675,validation,0
676,train,1
677,validation,1
678,train,1
679,train,1
680,train,0
681,validation,1
682,test,1
683,train,1
684,train,1
685,test,0
686,validation,0
687,train,0
688,validation,0
689,validation,0
690,train,0
691,train,1
692,train,1
693,train,1
694,train,0
695,train,0
696,validation,1
697,train,1
698,train,0
699,train,1
700,train,0
701,train,0
702,train,0
703,test,0
704,test,1
705,train,0
706,train,0
707,test,1
708,train,1
709,train,1
710,validation,0
711,train,1
712,validation,1
713,train,1
714,validation,1
715,test,0
716,train,0
717,validation,1
718,train,0
719,validation,0
720,validation,0
721,train,1
722,train,0
723,train,0
724,train,1
725,train,0
726,test,0
727,train,0
728,train,1
729,train,0
730,test,0
731,test,1
732,train,0
733,test,1
734,train,1
735,test,0
736,validation,0
737,train,1
738,test,1
739,train,0
740,test,0
741,train,1
742,train,1
743,train,1
744,train,0
745,train,1
746,train,0
747,train,0
748,train,1
749,train,0
750,test,0
751,validation,0
752,test,0
753,train,0
754,train,0
755,train,0
756,test,0
757,train,1
758,train,0
759,validation,0
760,train,0
761,train,0
762,test,0
763,test,0
764,test,1
765,train,0
766,train,0
767,train,0
768,train,0
769,train,0
770,train,0
771,train,0
772,train,0
773,train,0
774,train,0
775,train,0
776,train,0
777,train,0
778,train,0
779,train,1
780,train,0
781,train,0
782,validation,1
783,train,0
784,train,1
785,validation,0
786,test,0
787,test,0
788,train,0
789,train,0
790,train,1
791,train,0
792,train,1
793,train,0
794,test,0
795,train,0
796,train,0
797,train,0
798,train,0
799,train,0
800,train,0
801,train,0
802,train,0
803,train,0
804,train,0
805,train,0
806,train,1
807,train,0
808,test,1
809,train,1
810,test,0
811,train,0
812,train,0
813,train,0
814,test,0
815,train,1
816,test,0
817,test,0
818,train,0
819,train,0
820,train,1
821,validation,0
822,test,1
823,test,0
824,train,0
825,train,0
826,train,0
827,train,0
828,test,0
829,train,0
830,train,0
831,test,0
832,train,0
833,train,0
834,test,1
835,train,1
836,validation,0
837,train,1
838,train,0
839,train,0
840,train,0
841,train,0
842,train,0
843,train,1
844,train,1
845,train,0
846,test,0
847,train,0
848,train,0
849,train,0
850,train,0
851,train,1
852,train,0
853,train,0
854,train,0
855,validation,0
856,train,0
857,train,0
858,train,0
859,train,0
860,test,0
861,train,0
862,train,0
863,test,0
864,test,0
865,train,0
866,test,0
867,train,0
868,test,1
869,train,1
870,train,0
871,train,0
872,train,0
873,train,0
874,validation,0
875,train,0
876,train,0
877,train,0
878,test,0
879,train,0
880,train,0
881,train,0
882,train,0
883,train,1
884,train,0
885,train,0
886,validation,0
887,train,0
888,test,0
889,train,0
890,train,1
891,validation,0
892,train,0
893,train,0
894,train,0
895,train,0
896,test,0
897,validation,1
898,validation,0
899,train,0
900,test,0
901,train,0
902,train,0
903,train,0
904,validation,0
905,train,0
906,train,0
907,train,1
908,test,0
909,train,0
910,validation,0
911,train,0
912,test,0
913,test,0
914,train,0
915,train,0
916,train,0
917,train,1
918,train,1
919,train,0
920,train,1
921,validation,0
922,train,1
923,train,0
924,train,0
925,validation,1
926,validation,1
927,test,1
928,validation,1
929,validation,1
930,test,0
931,train,1
932,train,0
933,validation,0
934,train,0
935,test,0
936,train,0
937,train,0
938,train,0
939,validation,0
940,train,0
941,train,0
942,test,0
943,test,0
944,train,0
945,train,0
946,train,1
947,train,0
948,train,1
949,train,0
950,train,0
951,train,0
952,train,0
953,train,0
954,validation,1
955,validation,0
956,train,0
957,train,0
958,train,0
959,train,0
960,validation,0
961,train,0
962,test,0
963,test,0
964,train,0
965,test,0
966,train,1
967,test,0
968,validation,0
969,test,0
970,test,0
971,train,0
972,train,0
973,train,1
974,train,1
975,train,1
976,train,0
977,train,1
978,train,1
979,train,0
980,train,0
981,test,0
982,train,1
983,train,1
984,test,0
985,train,0
986,validation,0
987,train,1
988,train,1
989,train,1
990,validation,1
991,train,0
992,train,0
993,test,0
994,test,0
995,train,0
996,train,0
997,train,0
998,train,1
999,train,1
1000,train,0
1001,train,0
1002,train,0
1003,train,0
1004,train,0
1005,train,0
1006,test,0
1007,train,0
1008,validation,1
1009,train,1
1010,train,0
1011,test,0
1012,test,0
1013,train,0
1014,test,0
1015,train,0
1016,train,0
1017,test,1
1018,train,0
1019,train,0
1020,train,0
1021,validation,1
1022,validation,0
1023,test,0
1024,train,0
1025,train,0
1026,train,0
1027,train,0
1028,train,0
1029,train,0
1030,train,0
1031,validation,0
1032,validation,0
1033,train,0
1034,validation,0
1035,test,0
1036,train,0
1037,validation,0
1038,train,0
1039,validation,0
1040,train,0
1041,train,0
1042,validation,1
1043,train,0
1044,train,0
1045,train,0
1046,test,0
1047,test,0
1048,train,0
1049,test,0
1050,train,0
1051,test,0
1052,train,0
1053,test,1
1054,train,0
1055,train,0
1056,train,0
1057,train,1
1058,train,1
1059,train,1
1060,validation,0
1061,train,0
1062,validation,0
1063,train,1
1064,train,0
1065,train,1
1066,train,1
1067,train,0
1068,validation,0
1069,train,0
1070,train,0
1071,validation,0
1072,validation,0
1073,train,0
1074,validation,0
1075,test,1
1076,test,1
1077,test,1
1078,validation,1
1079,validation,1
1080,test,0
1081,train,1
1082,validation,0
1083,validation,1
1084,train,0
1085,train,1
1086,train,0
1087,test,0
1088,train,1
1089,train,0
1090,test,1
1091,validation,1
1092,test,0
1093,validation,0
1094,validation,1
1095,train,1
1096,train,1
1097,test,1
1098,train,0
1099,train,0
1100,train,1
1101,test,0
1102,train,0
1103,train,0
1104,train,0
1105,test,1
1106,train,1
1107,train,0
1108,validation,0
1109,train,1
1110,train,0
1111,train,0
1112,train,0
1113,train,0
1114,train,0
1115,test,0
1116,train,0
1117,train,0
1118,train,0
1119,validation,0
1120,test,0
1121,train,1
1122,validation,0
1123,validation,0
1124,train,0
1125,train,1
1126,train,1
1127,train,1
1128,train,1
1129,validation,1
1130,train,1
1131,validation,1
1132,train,1
1133,validation,1
1134,train,1
1135,train,1
1136,train,1
1137,validation,1
1138,train,0
1139,train,0
1140,validation,1
1141,train,1
1142,train,1
1143,train,1
1144,test,1
1145,train,1
1146,train,1
1147,train,1
1148,test,1
1149,validation,1
1150,train,1
1151,train,1
1152,train,1
1153,train,1
1154,train,1
1155,validation,1
1156,test,1
1157,test,1
1158,validation,1
1159,train,1
1160,train,1
1161,train,1
1162,train,1
1163,train,1
1164,train,1
1165,train,1
1166,train,1
1167,test,0
1168,train,0
1169,train,0
1170,validation,0
1171,validation,0
1172,train,0
1173,train,0
1174,train,0
1175,train,1
1176,train,0
1177,train,1
1178,validation,1
1179,train,0
1180,train,0
1181,train,0
1182,train,0
1183,validation,1
1184,train,1
1185,validation,0
1186,train,0
1187,train,1
1188,train,0
1189,train,1
1190,train,0
1191,validation,1
1192,train,0
1193,train,0
1194,train,0
1195,validation,0
1196,train,1
1197,validation,1
1198,train,1
1199,validation,0
1200,train,1
1201,validation,0
1202,train,0
1203,train,0
1204,train,0
1205,test,0
1206,train,1
1207,test,0
1208,test,1
1209,train,0
1210,train,1
1211,train,1
1212,validation,0
1213,train,0
1214,train,0
1215,train,0
1216,train,0
1217,train,1
1218,train,0
1219,train,0
1220,test,0
1221,train,0
1222,train,0
1223,train,0
1224,train,0
1225,train,0
1226,train,0
1227,train,0
1228,validation,1
1229,train,0
1230,train,0
1231,test,0
1232,test,0
1233,train,0
1234,train,0
1235,train,0
1236,train,1
1237,test,0
1238,train,0
1239,train,0
1240,train,1
1241,train,1
1242,train,0
1243,test,0
1244,train,0
1245,train,1
1246,train,0
1247,train,0
1248,validation,0
1249,train,0
1250,train,0
1251,test,0
1252,test,1
1253,train,0
1254,train,0
1255,test,0
1256,train,0
1257,test,0
1258,train,0
1259,train,1
1260,train,1
1261,test,0
1262,validation,0
1263,train,0
1264,train,0
1265,train,0
1266,train,1
1267,test,0
1268,validation,0
1269,train,0
1270,train,1
1271,train,0
1272,train,0
1273,train,1
1274,test,0
1275,train,0
1276,train,1
1277,test,0
1278,train,1
1279,train,0
1280,validation,0
1281,validation,0
1282,train,1
1283,train,1
1284,train,0
1285,train,0
1286,train,1
1287,train,0
1288,train,0
1289,train,1
1290,validation,0
1291,test,0
1292,train,0
1293,train,1
1294,train,0
1295,validation,0
1296,test,0
1297,validation,1
1298,train,0
1299,validation,0
1300,train,0
1301,train,0
1302,train,0
1303,train,0
1304,train,1
1305,train,1
1306,validation,0
1307,train,0
1308,train,0
1309,train,0
1310,train,0
1311,train,0
1312,validation,0
1313,train,0
1314,train,0
1315,train,0
1316,train,1
1317,train,0
1318,validation,0
1319,train,1
1320,train,0
1321,train,0
1322,train,0
1323,train,0
1324,test,0
1325,validation,0
1326,test,0
1327,train,0
1328,train,0
1329,train,0
1330,test,0
1331,train,0
1332,train,1
1333,train,1
1334,train,0
1335,train,1
1336,train,0
1337,validation,0
1338,validation,0
1339,validation,1
1340,train,0
1341,train,0
1342,train,1
1343,train,0
1344,test,0
1345,train,1
1346,test,0
1347,train,0
1348,train,0
1349,train,0
1350,train,0
1351,train,1
1352,train,0
1353,train,0
1354,train,1
1355,train,0
1356,train,1
1357,train,0
1358,train,0
1359,train,0
1360,test,0
1361,train,0
1362,test,0
1363,train,0
1364,train,0
1365,train,0
1366,test,0
1367,train,0
1368,test,0
1369,train,0
1370,validation,0
1371,test,0
1372,train,0
1373,validation,0
1374,train,1
1375,validation,0
1376,test,0
1377,test,0
1378,train,0
1379,train,0
1380,train,0
1381,train,0
1382,train,0
1383,test,0
1384,train,0
1385,train,1
1386,train,0
1387,train,0
1388,train,1
1389,test,0
1390,train,0
1391,train,0
1392,train,0
1393,train,0
1394,train,0
1395,train,0
1396,train,0
1397,train,0
1398,validation,0
1399,validation,0
1400,train,0
1401,train,1
1402,validation,0
1403,train,0
1404,train,0
1405,train,0
1406,train,0
1407,train,0
1408,validation,0
1409,train,0
1410,train,0
1411,test,0
1412,train,0
1413,train,0
1414,test,0
1415,validation,0
1416,train,0
1417,test,1
1418,train,0
1419,train,0
1420,train,0
1421,train,0
1422,train,0
1423,train,0
1424,train,0
1425,train,1
1426,train,0
1427,train,0
1428,train,1
1429,train,0
1430,train,0
1431,train,1
1432,train,0
1433,train,0
1434,train,0
1435,validation,0
1436,train,0
1437,train,0
1438,train,0
1439,train,1
1440,train,0
1441,validation,0
1442,train,0
1443,test,0
1444,validation,0
1445,validation,0
1446,train,0
1447,train,0
1448,train,0
1449,test,0
1450,train,0
1451,train,0
1452,validation,0
1453,train,1
1454,train,0
1455,train,0
1456,train,0
1457,validation,0
1458,train,0
1459,train,1
1460,train,0
1461,test,0
1462,train,0
1463,train,0
1464,validation,0
1465,validation,0
1466,train,1
1467,train,0
1468,train,0
1469,train,1
1470,train,0
1471,train,0
1472,test,1
1473,test,0
1474,train,0
1475,train,0
1476,train,0
1477,train,0
1478,train,0
1479,train,0
1480,test,0
1481,train,0
1482,train,0
1483,train,1
1484,train,0
1485,train,0
1486,train,1
1487,train,0
1488,train,0
1489,train,0
1490,validation,0
1491,test,0
1492,test,0
1493,test,0
1494,train,0
1495,train,0
1496,validation,0
1497,test,0
1498,train,0
1499,train,0
1500,validation,1
1501,train,0
1502,validation,0
1503,test,0
1504,test,1
1505,train,1
1506,train,1
1507,train,0
1508,test,0
1509,test,1
1510,train,0
1511,train,1
1512,train,1
1513,train,0
1514,test,0
1515,validation,0
1516,train,1
1517,train,0
1518,test,1
1519,train,0
1520,train,0
1521,train,0
1522,test,0
1523,train,0
1524,train,0
1525,train,0
1526,train,0
1527,train,0
1528,train,0
1529,train,0
1530,train,0
1531,train,0
1532,test,0
1533,train,1
1534,validation,0
1535,train,0
1536,train,1
1537,validation,0
1538,train,0
1539,train,0
1540,train,1
1541,test,0
1542,train,0
1543,train,0
1544,validation,0
1545,train,0
1546,train,0
1547,test,0
1548,train,0
1549,train,0
1550,train,0
1551,train,1
1552,train,0
1553,train,0
1554,train,0
1555,train,0
1556,test,1
1557,train,0
1558,train,0
1559,train,0
1560,test,0
1561,train,0
1562,train,0
1563,train,0
1564,validation,0
1565,train,1
1566,train,0
1567,train,0
1568,train,0
1569,test,0
1570,train,0
1571,train,0
1572,train,0
1573,train,1
1574,train,0
1575,train,1
1576,train,0
1577,validation,0
1578,train,1
1579,test,0
1580,validation,1
1581,validation,0
1582,train,0
1583,validation,1
1584,train,0
1585,train,0
1586,train,1
1587,train,0
1588,test,0
1589,train,0
1590,train,0
1591,validation,0
1592,train,1
1593,train,1
1594,test,1
1595,train,1
1596,validation,1
1597,test,1
1598,train,1
1599,validation,0
1600,train,0
1601,train,0
1602,test,0
1603,validation,1
1604,train,0
1605,test,0
1606,validation,1
1607,train,0
1608,train,1
1609,validation,0
1610,train,0
1611,train,0
1612,validation,0
1613,train,0
1614,validation,1
1615,train,0
1616,test,0
1617,validation,0
1618,validation,1
1619,test,0
1620,validation,1
1621,test,0
1622,train,0
1623,validation,0
1624,train,0
1625,train,0
1626,train,1
1627,train,0
1628,test,0
1629,train,0
1630,train,0
1631,train,0
1632,train,0
1633,test,0
1634,train,0
1635,train,0
1636,train,1
1637,train,1
1638,test,0
1639,validation,0
1640,train,0
1641,train,0
1642,train,0
1643,test,1
1644,train,0
1645,train,0
1646,train,0
1647,train,0
1648,test,1
1649,train,0
1650,test,0
1651,train,0
1652,train,0
1653,test,0
1654,test,0
1655,train,0
1656,train,0
1657,train,0
1658,validation,1
1659,validation,0
1660,train,0
1661,train,0
1662,train,0
1663,train,0
1664,train,0
1665,train,0
1666,validation,0
1667,train,0
1668,test,0
1669,train,0
1670,train,0
1671,train,0
1672,train,0
1673,train,0
1674,test,0
1675,train,0
1676,validation,0
1677,train,1
1678,train,0
1679,train,0
1680,validation,1
1681,test,0
1682,train,0
1683,train,0
1684,train,1
1685,train,0
1686,train,0
1687,validation,1
1688,validation,0
1689,train,1
1690,test,0
1691,test,0
1692,train,0
1693,train,0
1694,train,0
1695,train,0
1696,train,0
1697,train,0
1698,train,1
1699,train,0
1700,train,0
1701,test,0
1702,train,0
1703,train,1
1704,train,0
1705,validation,0
1706,train,0
1707,train,0
1708,train,0
1709,train,0
1710,train,0
1711,train,0
1712,train,1
1713,test,1
1714,train,1
1715,train,1
1716,test,1
1717,train,0
1718,train,0
1719,train,0
1720,train,0
1721,train,1
1722,validation,0
1723,train,0
1724,train,0
1725,train,0
1726,train,0
1727,train,1
1728,train,0
1729,train,0
1730,validation,0
1731,validation,0
1732,train,0
1733,train,0
1734,train,0
1735,validation,0
1736,train,0
1737,train,1
1738,train,0
1739,train,0
1740,test,0
1741,train,0
1742,train,0
1743,train,0
1744,train,0
1745,train,0
1746,train,0
1747,train,0
1748,train,1
1749,train,1
1750,train,0
1751,train,0
1752,train,1
1753,train,0
1754,train,0
1755,validation,0
1756,validation,0
1757,train,0
1758,validation,0
1759,train,0
1760,train,0
1761,train,0
1762,validation,1
1763,train,1
1764,train,0
1765,train,1
1766,test,1
1767,test,0
1768,test,1
1769,test,1
1770,validation,0
1771,validation,0
1772,test,0
1773,train,0
1774,validation,0
1775,train,0
1776,validation,1
1777,train,1
1778,train,0
1779,test,0
1780,train,0
1781,train,0
1782,train,0
1783,train,0
1784,train,0
1785,train,0
1786,train,0
1787,train,1
1788,train,1
1789,test,1
1790,train,0
1791,validation,0
1792,train,1
1793,train,0
1794,train,1
1795,train,1
1796,train,0
1797,train,0
1798,validation,0
1799,train,0
1800,train,1
1801,validation,0
1802,train,0
1803,train,1
1804,validation,1
1805,train,0
1806,validation,0
1807,train,0
1808,test,0
1809,train,0
1810,train,0
1811,validation,0
1812,train,0
1813,train,0
1814,validation,1
1815,train,1
1816,validation,1
1817,validation,0
1818,train,1
1819,train,1
1820,train,0
1821,train,0
1822,validation,0
1823,train,0
1824,train,0
1825,train,0
1826,train,0
1827,train,0
1828,train,0
1829,train,1
1830,validation,0
1831,train,1
1832,train,0
1833,test,0
1834,test,0
1835,train,0
1836,train,1
1837,test,1
1838,train,1
1839,train,1
1840,train,0
1841,train,0
1842,train,0
1843,train,0
1844,test,1
1845,test,0
1846,test,1
1847,train,0
1848,train,0
1849,train,1
1850,train,0
1851,test,1
1852,train,0
1853,train,0
1854,train,0
1855,train,0
1856,train,0
1857,train,0
1858,train,0
1859,train,1
1860,validation,1
1861,train,0
1862,train,0
1863,train,0
1864,train,0
1865,train,0
1866,train,0
1867,test,0
1868,train,0
1869,train,0
1870,train,0
1871,train,0
1872,test,0
1873,train,0
1874,test,0
1875,test,0
1876,train,1
1877,train,0
1878,validation,1
1879,train,0
1880,train,0
1881,train,1
1882,train,0
1883,train,1
1884,train,0
1885,train,0
1886,train,0
1887,train,0
1888,train,0
1889,train,0
1890,train,0
1891,train,0
1892,test,0
1893,train,1
1894,train,1
1895,train,0
1896,validation,0
1897,test,1
1898,train,0
1899,train,0
1900,test,0
1901,validation,0
1902,train,0
1903,validation,0
1904,train,0
1905,train,0
1906,train,0
1907,test,1
1908,validation,0
1909,train,0
1910,train,0
1911,train,0
1912,train,0
1913,validation,0
1914,train,1
1915,train,1
1916,train,0
1917,train,0
1918,test,0
1919,train,0
1920,test,1
1921,test,0
1922,test,0
1923,validation,0
1924,validation,0
1925,train,0
1926,train,0
1927,validation,0
1928,train,0
1929,validation,0
1930,train,0
1931,train,0
1932,validation,0
1933,train,0
1934,test,1
1935,validation,0
1936,train,0
1937,train,0
1938,train,0
1939,train,0
1940,train,1
1941,validation,0
1942,test,1
1943,test,0
1944,validation,0
1945,test,0
1946,test,0
1947,validation,0
1948,train,0
1949,train,0
1950,train,0
1951,test,0
1952,train,1
1953,test,0
1954,train,1
1955,test,0
1956,train,0
1957,train,0
1958,train,0
1959,test,0
1960,train,1
1961,train,0
1962,train,0
1963,validation,0
1964,train,0
1965,train,0
1966,train,0
1967,train,0
1968,train,1
1969,train,0
1970,train,0
1971,validation,0
1972,train,0
1973,train,0
1974,train,0
1975,validation,0
1976,train,0
1977,train,0
1978,test,0
1979,train,0
1980,train,1
1981,test,0
1982,train,1
1983,train,0
1984,train,0
1985,validation,0
1986,validation,1
1987,test,0
1988,train,0
1989,validation,0
1990,train,1
1991,train,1
1992,train,0
1993,train,1
1994,train,0
1995,train,0
1996,train,1
1997,train,1
1998,validation,0
1999,train,0
2000,validation,0
2001,train,0
2002,train,0
2003,train,0
2004,train,0
2005,train,0
2006,train,0
2007,validation,0
2008,test,0
2009,train,0
2010,train,0
2011,test,0
2012,train,0
2013,train,0
2014,train,0
2015,train,0
2016,train,0
2017,validation,0
2018,train,0
2019,train,0
2020,train,1
2021,train,0
2022,train,0
2023,validation,0
2024,train,0
2025,train,0
2026,train,0
2027,validation,0
2028,test,0
2029,test,0
2030,train,0
2031,train,0
2032,validation,1
2033,test,0
2034,train,0
2035,validation,0
2036,train,0
2037,train,0
2038,test,1
2039,train,0
2040,train,1
2041,train,0
2042,train,1
2043,validation,1
2044,train,1
2045,train,0
2046,train,0
2047,test,0
2048,train,0
2049,validation,1
2050,train,0
2051,train,0
2052,validation,0
2053,train,1
2054,train,0
2055,train,0
2056,train,0
2057,train,1
2058,test,0
2059,train,0
2060,train,0
2061,validation,0
2062,train,0
2063,validation,1
2064,train,0
2065,train,0
2066,train,0
2067,train,0
2068,train,0
2069,train,0
2070,train,0
2071,train,0
2072,test,1
2073,train,0
2074,train,0
2075,test,0
2076,train,0
2077,train,0
2078,train,0
2079,validation,0
2080,test,0
2081,validation,0
2082,train,0
2083,validation,0
2084,train,0
2085,validation,0
2086,train,1
2087,train,0
2088,train,0
2089,train,0
2090,test,1
2091,test,0
2092,test,0
2093,train,0
2094,train,0
